OID,Value,Type,Category
1.3.6.1.4.1.674.10892.5.4.600.20.1.2.1.1,1,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.2.1.2,2,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.2.1.3,3,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.3.1.1,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.3.1.2,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.3.1.3,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.4.1.1,2,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.4.1.2,2,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.4.1.3,2,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.5.1.1,3,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.5.1.2,3,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.5.1.3,3,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.7.1.1,16,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.7.1.2,16,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.7.1.3,16,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.8.1.1,CPU1 VCORE PG,OctetString,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.8.1.2,CPU2 VCORE PG,OctetString,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.8.1.3,System Board 3.3V PG,OctetString,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.15.1.1,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.15.1.2,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.15.1.3,0,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.16.1.1,1,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.16.1.2,1,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.20.1.16.1.3,1,Integer,voltage
1.3.6.1.4.1.674.10892.5.4.600.30.1.1.1.1,1,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.1.1.2,1,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.1.1.3,1,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.2.1.1,1,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.2.1.2,2,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.2.1.3,3,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.3.1.1,0,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.3.1.2,0,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.3.1.3,0,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.4.1.1,2,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.4.1.2,2,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.4.1.3,2,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.5.1.1,3,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.5.1.2,3,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.5.1.3,3,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.6.1.1,12,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.6.1.2,2,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.6.1.3,140,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.7.1.1,23,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.7.1.2,23,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.7.1.3,26,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.8.1.1,PS1 Current 1,OctetString,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.8.1.2,PS2 Current 2,OctetString,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.8.1.3,System Board Pwr Consumption,OctetString,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.10.1.3,644,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.11.1.3,588,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.15.1.1,0,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.15.1.2,0,Integer,power
1.3.6.1.4.1.674.10892.5.4.600.30.1.15.1.3,5,Integer,power
1.3.6.1.4.1.674.10892.5.4.700.10.1.1.1.1,1,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.2.1.1,1,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.3.1.1,0,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.4.1.1,2,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.5.1.1,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.6.1.1,0,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.10.1.7.1.1,System Board Fan Redundancy,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.10.1.8.1.1,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.700.12.1.1.1.1,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.1.1.2,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.1.1.3,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.2.1.1,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.2.1.2,2,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.2.1.3,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.3.1.1,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.3.1.2,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.3.1.3,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.4.1.1,2,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.4.1.2,2,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.4.1.3,2,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.5.1.1,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.5.1.2,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.5.1.3,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.6.1.1,1920,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.6.1.2,1920,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.6.1.3,1920,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.7.1.1,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.7.1.2,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.7.1.3,3,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.8.1.1,System Board Fan1,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.8.1.2,System Board Fan2,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.8.1.3,System Board Fan3,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.12.1.1,600,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.12.1.2,600,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.12.1.3,600,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.13.1.1,360,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.13.1.2,360,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.13.1.3,360,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.15.1.1,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.15.1.2,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.15.1.3,1,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.16.1.1,5,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.16.1.2,5,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.16.1.3,5,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.17.1.1,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.17.1.2,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.17.1.3,0,Integer,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.19.1.1,Fan.Embedded.1,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.19.1.2,Fan.Embedded.2,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.12.1.19.1.3,Fan.Embedded.3,OctetString,fans
1.3.6.1.4.1.674.10892.5.4.700.20.1.1.1.1,1,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.1.1.2,1,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.1.1.3,1,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.2.1.1,1,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.2.1.2,2,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.2.1.3,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.3.1.1,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.3.1.2,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.3.1.3,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.4.1.1,2,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.4.1.2,2,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.4.1.3,2,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.5.1.1,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.5.1.2,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.5.1.3,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.6.1.1,220,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.6.1.2,400,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.6.1.3,450,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.7.1.1,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.7.1.2,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.7.1.3,3,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.8.1.1,System Board Inlet Temp,OctetString,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.8.1.2,System Board Exhaust Temp,OctetString,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.8.1.3,CPU1 Temp,OctetString,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.10.1.1,470,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.10.1.2,750,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.10.1.3,850,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.11.1.1,420,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.11.1.2,700,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.11.1.3,800,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.12.1.1,30,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.12.1.2,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.12.1.3,80,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.13.1.1,-70,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.13.1.2,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.13.1.3,30,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.15.1.1,15,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.15.1.2,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.700.20.1.15.1.3,0,Integer,temperatures
1.3.6.1.4.1.674.10892.5.4.1100.30.1.1.1.1,1,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.1.1.2,1,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.2.1.1,1,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.2.1.2,2,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.3.1.1,0,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.3.1.2,0,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.4.1.1,2,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.4.1.2,2,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.5.1.1,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.5.1.2,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.7.1.1,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.7.1.2,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.8.1.1,Intel,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.8.1.2,Intel,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.9.1.1,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.9.1.2,3,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.10.1.1,21,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.10.1.2,21,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.11.1.1,4000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.11.1.2,4000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.12.1.1,2400,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.12.1.2,2400,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.13.1.1,8000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.13.1.2,8000,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.14.1.1,1300,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.14.1.2,1300,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.16.1.1,E5,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.16.1.2,E5,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.17.1.1,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.17.1.2,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.18.1.1,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.18.1.2,6,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.19.1.1,12,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.19.1.2,12,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.20.1.1,4,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.20.1.2,4,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.21.1.1,29,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.21.1.2,29,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.22.1.1,9,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.22.1.2,9,Integer,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.23.1.1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.23.1.2,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.26.1.1,CPU.Socket.1,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.30.1.26.1.2,CPU.Socket.2,OctetString,other
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.1,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.2,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.3,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.4,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.5,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.6,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.7,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.1.1.8,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.1,1,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.2,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.3,3,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.4,4,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.5,5,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.6,6,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.7,7,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.2.1.8,8,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.1,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.2,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.3,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.4,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.5,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.6,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.7,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.3.1.8,0,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.1,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.2,2,Integer,memory
1.3.6.1.4.1.674.10892.5.4.1100.50.1.4.1.3,2,Integer,memory
